RK,TIERS,PLAYER NAME,TEAM,FAN PTS,YDS,TDS,REC,YDS,TDS,ATT,YDS,TDS
110,8,DeAndre Hopkins,ARI,14.7,0.0,0.0,4.2,57.2,0.8,0.0,0.0,0.0
111,8,Chris Olave,NO,0,0,0,0,0,0,0,0,0
112,8,Kirk Cousins,MIN,19.2,263.8,2.1,0.0,0.0,0.0,1.8,7.2,0.1
113,8,J.D. McKissic,WAS,11.6,0.0,0.0,3.9,36.1,0.2,4.4,19.3,0.2
114,8,Derek Carr,LV,15.9,282.6,1.4,0.0,0.0,0.0,2.4,6.4,0.0
115,8,Ken Walker III,SEA,0,0,0,0,0,0,0,0,0
116,8,Jakobi Meyers,NE,11.6,0.0,0.0,5.2,54.1,0.1,0.1,0.6,0.0
117,8,James Robinson,JAC,12.4,0.0,0.0,2.2,15.9,0.0,11.7,54.8,0.6
118,9,Tyler Boyd,CIN,11.5,0.0,0.0,4.2,51.8,0.3,0.1,1.4,0.0
119,9,Kenneth Gainwell,PHI,7.7,0.0,0.0,2.1,15.8,0.1,4.3,18.2,0.3
120,9,Chase Claypool,PIT,11.1,0.0,0.0,3.9,57.3,0.1,0.9,6.4,0.0
121,9,George Pickens,PIT,0,0,0,0,0,0,0,0,0
122,9,Treylon Burks,TEN,0,0,0,0,0,0,0,0,0
123,9,Alexander Mattison,MIN,7.9,0.0,0.0,2.0,14.3,0.1,8.4,30.7,0.2
124,9,Russell Gage,TB,12.5,0.0,0.0,5.1,59.2,0.3,0.0,0.0,0.0
125,9,Tua Tagovailoa,MIA,14.7,204.1,1.2,0.0,0.0,0.0,3.2,9.8,0.2
126,9,Hunter Henry,NE,10.3,0.0,0.0,3.1,37.7,0.6,0.0,0.0,0.0
127,9,DeVante Parker,NE,10.3,0.0,0.0,4.0,51.5,0.2,0.0,0.0,0.0
128,9,Khalil Herbert,CHI,4.9,0.0,0.0,0.9,6.0,0.0,6.4,27.1,0.1
129,9,Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,0
130,9,Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,0
131,9,Jamaal Williams,DET,9.2,0.0,0.0,2.0,12.1,0.0,11.8,46.2,0.2
132,9,Skyy Moore,KC,0,0,0,0,0,0,0,0,0
133,9,Jarvis Landry,NO,11.1,0.0,0.0,4.3,47.5,0.2,0.5,3.3,0.2
134,9,Justin Fields,CHI,11.4,155.8,0.6,0.0,0.0,0.0,6.0,35.0,0.2
135,9,Raheem Mostert,MIA,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0
136,9,Marquez Valdes-Scantling,KC,7.9,0.0,0.0,2.4,39.1,0.3,0.0,0.0,0.0
137,9,David Njoku,CLE,7.2,0.0,0.0,2.4,31.7,0.3,0.1,0.1,0.0
138,9,Julio Jones,TB,8.0,0.0,0.0,3.1,43.4,0.1,0.0,0.0,0.0
139,9,DJ Chark Jr.,DET,11.5,0.0,0.0,2.3,51.3,0.7,0.0,0.0,0.0
140,9,Albert Okwuegbunam,DEN,5.4,0.0,0.0,2.4,23.6,0.1,0.0,0.0,0.0
141,9,Rondale Moore,ARI,7.8,0.0,0.0,3.9,31.1,0.1,1.3,5.4,0.0
142,9,Nico Collins,HOU,6.0,0.0,0.0,2.4,31.9,0.1,0.0,0.0,0.0
143,9,Rachaad White,TB,0,0,0,0,0,0,0,0,0
144,9,Mike Gesicki,MIA,9.7,0.0,0.0,4.3,45.9,0.1,0.0,0.0,0.0
145,9,Trevor Lawrence,JAC,12.7,214.2,0.7,0.0,0.0,0.0,4.3,19.6,0.1
146,9,Michael Gallup,DAL,10.2,0.0,0.0,3.9,49.4,0.2,0.0,0.0,0.0
147,9,Jahan Dotson,WAS,0,0,0,0,0,0,0,0,0
148,9,Tyler Higbee,LAR,9.8,0.0,0.0,4.1,37.3,0.3,0.0,0.0,0.0
149,9,Gerald Everett,LAC,7.9,0.0,0.0,3.2,31.9,0.3,0.2,1.3,0.0
150,9,Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,0
151,10,Buffalo Bills,BUF,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,10,Tampa Bay Buccaneers,TB,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,10,Noah Fant,SEA,9.9,0.0,0.0,4.3,41.9,0.3,0.0,0.0,0.0
154,10,Austin Hooper,TEN,6.2,0.0,0.0,2.5,23.0,0.2,0.0,0.0,0.0
155,10,Evan Engram,JAC,6.8,0.0,0.0,3.1,27.2,0.2,0.1,-0.2,0.0
156,10,San Francisco 49ers,SF,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,10,Matt Ryan,IND,13.8,233.4,1.2,0.0,0.0,0.0,2.4,4.8,0.1
158,10,Joshua Palmer,LAC,6.2,0.0,0.0,2.2,23.5,0.3,0.1,0.4,0.0
159,10,Kenny Golladay,NYG,6.4,0.0,0.0,2.6,37.2,0.0,0.0,0.0,0.0
160,10,Robert Tonyan,GB,6.3,0.0,0.0,2.3,25.5,0.3,0.0,0.0,0.0
161,10,Indianapolis Colts,IND,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,10,Jameis Winston,NO,17.2,167.1,2.0,0.0,0.0,0.0,4.6,23.7,0.1
163,10,Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,0
164,10,Isiah Pacheco,KC,0,0,0,0,0,0,0,0,0
165,10,Zamir White,LV,0,0,0,0,0,0,0,0,0
166,10,Mark Ingram II,NO,7.8,0.0,0.0,1.9,11.6,0.0,11.4,39.6,0.1
167,10,Isaiah McKenzie,BUF,3.5,0.0,0.0,1.3,11.9,0.1,0.6,3.1,0.1
168,10,Mecole Hardman,KC,8.3,0.0,0.0,3.5,40.8,0.1,0.5,2.7,0.0
169,10,Marvin Jones Jr.,JAC,10.6,0.0,0.0,4.3,48.9,0.2,0.0,0.0,0.0
170,10,New Orleans Saints,NO,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,10,Justin Tucker,BAL,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,10,Los Angeles Rams,LAR,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,10,Ryan Tannehill,TEN,16.6,219.6,1.2,0.0,0.0,0.0,3.2,15.9,0.4
174,10,Denver Broncos,DEN,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,10,Corey Davis,NYJ,11.7,0.0,0.0,3.8,54.7,0.4,0.0,0.0,0.0
176,10,Robbie Anderson,CAR,8.1,0.0,0.0,3.1,30.5,0.3,0.2,2.1,0.0
177,10,Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,0
178,10,K.J. Osborn,MIN,9.3,0.0,0.0,2.9,38.5,0.4,0.1,0.6,0.0
179,10,Hayden Hurst,CIN,5.3,0.0,0.0,2.2,18.4,0.3,0.0,0.0,0.0
180,10,Tyler Bass,BUF,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,10,New England Patriots,NE,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,10,Romeo Doubs,GB,0,0,0,0,0,0,0,0,0
183,11,Mac Jones,NE,14.0,223.6,1.3,0.0,0.0,0.0,2.6,7.6,0.0
184,11,Daniel Jones,NYG,15.9,220.7,0.9,0.0,0.0,0.0,5.6,27.1,0.2
185,11,Matt Gay,LAR,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,11,Brevin Jordan,HOU,7.0,0.0,0.0,2.5,22.3,0.4,0.0,0.0,0.0
187,11,Jeff Wilson Jr.,SF,5.7,0.0,0.0,0.8,3.4,0.0,8.8,32.7,0.2
188,11,Dallas Cowboys,DAL,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,11,Evan McPherson,CIN,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,11,Logan Thomas,WAS,10.7,0.0,0.0,3.6,39.2,0.6,0.0,0.0,0.0
191,11,Boston Scott,PHI,9.0,0.0,0.0,1.2,7.5,0.0,7.9,33.9,0.6
192,11,Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,0
193,11,Los Angeles Chargers,LAC,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,11,Van Jefferson,LAR,9.9,0.0,0.0,2.9,47.2,0.4,0.1,1.2,0.0
195,11,Jared Goff,DET,14.5,231.8,1.4,0.0,0.0,0.0,1.2,6.2,0.0
196,11,Green Bay Packers,GB,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,11,D'Onta Foreman,CAR,10.4,0.0,0.0,1.0,13.7,0.0,14.8,62.9,0.3
198,11,KJ Hamler,DEN,4.1,0.0,0.0,1.7,24.7,0.0,0.0,0.0,0.0
199,11,Samaje Perine,CIN,5.5,0.0,0.0,1.8,13.1,0.1,3.7,16.4,0.1
200,11,Darrel Williams,ARI,11.5,0.0,0.0,2.8,26.6,0.1,8.5,32.8,0.4
201,11,Jerick McKinnon,KC,4.0,0.0,0.0,1.4,11.9,0.1,1.3,6.9,0.0
202,11,Daniel Carlson,LV,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,11,Miami Dolphins,MIA,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,11,Rex Burkhead,HOU,7.0,0.0,0.0,1.7,12.4,0.0,8.1,28.5,0.2
205,11,Alec Pierce,IND,0,0,0,0,0,0,0,0,0
206,11,Harrison Butker,KC,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,11,Parris Campbell,IND,5.4,0.0,0.0,1.7,27.0,0.2,0.0,0.0,0.0
208,11,Christian Watson,GB,0,0,0,0,0,0,0,0,0
209,11,Jameson Williams,DET,0,0,0,0,0,0,0,0,0
210,11,Damien Williams,ATL,5.1,0.0,0.0,1.3,8.6,0.1,3.3,13.7,0.2
