RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
49,6,George Kittle,SF,TE4,9,4 out of 5 stars,-12
50,6,Lamar Jackson,BAL,QB4,10,2 out of 5 stars,-8
51,6,Chase Edmonds,MIA,RB22,11,4 out of 5 stars,36
52,6,Darren Waller,LV,TE5,6,2 out of 5 stars,-8
53,6,Darnell Mooney,CHI,WR22,14,3 out of 5 stars,19
54,6,Elijah Mitchell,SF,RB23,9,2 out of 5 stars,-4
55,6,DK Metcalf,SEA,WR23,11,4 out of 5 stars,-8
56,6,Josh Jacobs,LV,RB24,6,2 out of 5 stars,-8
57,6,Amon-Ra St. Brown,DET,WR24,6,3 out of 5 stars,4
58,6,Marquise Brown,ARI,WR25,13,2 out of 5 stars,0
59,6,Michael Thomas,NO,WR26,14,4 out of 5 stars,17
60,6,Antonio Gibson,WAS,RB25,14,4 out of 5 stars,2
61,6,JuJu Smith-Schuster,KC,WR27,8,2 out of 5 stars,12
62,6,Rashod Bateman,BAL,WR28,10,3 out of 5 stars,27
63,6,Kyler Murray,ARI,QB5,13,2 out of 5 stars,-11
64,6,Dalton Schultz,DAL,TE6,9,3 out of 5 stars,-9
65,6,J.K. Dobbins,BAL,RB26,10,4 out of 5 stars,-16
66,6,Jalen Hurts,PHI,QB6,7,4 out of 5 stars,-12
67,7,Dameon Pierce,HOU,RB27,6,3 out of 5 stars,15
68,7,Jerry Jeudy,DEN,WR29,9,4 out of 5 stars,-4
69,7,Gabriel Davis,BUF,WR30,7,4 out of 5 stars,-2
70,7,Clyde Edwards-Helaire,KC,RB28,8,3 out of 5 stars,-7
71,7,Chris Godwin,TB,WR31,11,4 out of 5 stars,-12
72,7,Elijah Moore,NYJ,WR32,10,1 out of 5 stars,20
73,7,Amari Cooper,CLE,WR33,9,4 out of 5 stars,-5
74,7,Kareem Hunt,CLE,RB29,9,3 out of 5 stars,11
75,7,Rhamondre Stevenson,NE,RB30,10,4 out of 5 stars,24
76,7,Dallas Goedert,PHI,TE7,7,2 out of 5 stars,-7
77,7,Tony Pollard,DAL,RB31,9,4 out of 5 stars,9
78,7,Joe Burrow,CIN,QB7,10,2 out of 5 stars,-21
79,7,Adam Thielen,MIN,WR34,7,2 out of 5 stars,-8
80,7,Cordarrelle Patterson,ATL,RB32,14,1 out of 5 stars,4
81,7,Damien Harris,NE,RB33,10,4 out of 5 stars,-2
82,7,Rashaad Penny,SEA,RB34,11,2 out of 5 stars,6
83,7,Tom Brady,TB,QB8,11,3 out of 5 stars,-13
84,7,Miles Sanders,PHI,RB35,7,3 out of 5 stars,-1
85,7,T.J. Hockenson,DET,TE8,6,4 out of 5 stars,-20
86,7,Russell Wilson,DEN,QB9,9,4 out of 5 stars,-12
87,7,Devin Singletary,BUF,RB36,7,4 out of 5 stars,-9
88,7,Christian Kirk,JAC,WR35,11,4 out of 5 stars,12
89,8,Hunter Renfrow,LV,WR36,6,2 out of 5 stars,-9
90,8,Dak Prescott,DAL,QB10,9,3 out of 5 stars,-13
91,8,DeVonta Smith,PHI,WR37,7,4 out of 5 stars,2
92,8,Brandon Aiyuk,SF,WR38,9,3 out of 5 stars,6
93,8,Allen Lazard,GB,WR39,14,3 out of 5 stars,10
94,8,Melvin Gordon III,DEN,RB37,9,3 out of 5 stars,11
95,8,Drake London,ATL,WR40,14,4 out of 5 stars,2
96,8,Zach Ertz,ARI,TE9,13,3 out of 5 stars,-6
97,8,Trey Lance,SF,QB11,9,3 out of 5 stars,4
98,8,Tyler Lockett,SEA,WR41,11,4 out of 5 stars,-2
99,8,Robert Woods,TEN,WR42,6,3 out of 5 stars,3
100,8,Aaron Rodgers,GB,QB12,14,2 out of 5 stars,-25
101,8,Dawson Knox,BUF,TE10,7,3 out of 5 stars,-10
102,8,Nyheim Hines,IND,RB38,14,3 out of 5 stars,36
103,8,Matthew Stafford,LAR,QB13,7,3 out of 5 stars,-8
104,8,Cole Kmet,CHI,TE11,14,5 out of 5 stars,13
105,8,Michael Carter,NYJ,RB39,10,4 out of 5 stars,7
106,8,James Cook,BUF,RB40,7,4 out of 5 stars,10
107,8,Darrell Henderson Jr.,LAR,RB41,7,2 out of 5 stars,22
108,8,Kadarius Toney,NYG,WR43,9,4 out of 5 stars,7
109,8,Pat Freiermuth,PIT,TE12,9,4 out of 5 stars,-3
110,8,DeAndre Hopkins,ARI,WR44,13,2 out of 5 stars,-29
111,8,Chris Olave,NO,WR45,14,4 out of 5 stars,-4
112,8,Kirk Cousins,MIN,QB14,7,3 out of 5 stars,7
113,8,J.D. McKissic,WAS,RB42,14,4 out of 5 stars,46
114,8,Derek Carr,LV,QB15,6,2 out of 5 stars,-5
115,8,Ken Walker III,SEA,RB43,11,2 out of 5 stars,-5
116,8,Jakobi Meyers,NE,WR46,10,4 out of 5 stars,40
117,8,James Robinson,JAC,RB44,11,3 out of 5 stars,-4
118,9,Tyler Boyd,CIN,WR47,10,3 out of 5 stars,16
119,9,Kenneth Gainwell,PHI,RB45,7,3 out of 5 stars,26
120,9,Chase Claypool,PIT,WR48,9,4 out of 5 stars,-9
121,9,George Pickens,PIT,WR49,9,4 out of 5 stars,0
122,9,Treylon Burks,TEN,WR50,6,3 out of 5 stars,4
123,9,Alexander Mattison,MIN,RB46,7,4 out of 5 stars,7
124,9,Russell Gage,TB,WR51,11,4 out of 5 stars,17
125,9,Tua Tagovailoa,MIA,QB16,11,2 out of 5 stars,12
126,9,Hunter Henry,NE,TE13,10,4 out of 5 stars,-1
127,9,DeVante Parker,NE,WR52,10,4 out of 5 stars,28
128,9,Khalil Herbert,CHI,RB47,14,5 out of 5 stars,51
129,9,Garrett Wilson,NYJ,WR53,10,1 out of 5 stars,4
130,9,Irv Smith Jr.,MIN,TE14,7,3 out of 5 stars,42
131,9,Jamaal Williams,DET,RB48,6,4 out of 5 stars,34
132,9,Skyy Moore,KC,WR54,8,2 out of 5 stars,8
133,9,Jarvis Landry,NO,WR55,14,4 out of 5 stars,20
134,9,Justin Fields,CHI,QB17,14,4 out of 5 stars,14
135,9,Raheem Mostert,MIA,RB49,11,4 out of 5 stars,7
136,9,Marquez Valdes-Scantling,KC,WR56,8,2 out of 5 stars,11
137,9,David Njoku,CLE,TE15,9,4 out of 5 stars,20
138,9,Julio Jones,TB,WR57,11,4 out of 5 stars,5
139,9,DJ Chark Jr.,DET,WR58,6,3 out of 5 stars,7
140,9,Albert Okwuegbunam,DEN,TE16,9,3 out of 5 stars,26
141,9,Rondale Moore,ARI,WR59,13,2 out of 5 stars,41
142,9,Nico Collins,HOU,WR60,6,3 out of 5 stars,65
143,9,Rachaad White,TB,RB50,11,2 out of 5 stars,44
144,9,Mike Gesicki,MIA,TE17,11,3 out of 5 stars,-21
145,9,Trevor Lawrence,JAC,QB18,11,5 out of 5 stars,6
146,9,Michael Gallup,DAL,WR61,9,3 out of 5 stars,-11
147,9,Jahan Dotson,WAS,WR62,14,4 out of 5 stars,24
148,9,Tyler Higbee,LAR,TE18,7,3 out of 5 stars,4
149,9,Gerald Everett,LAC,TE19,8,4 out of 5 stars,36
150,9,Tyler Allgeier,ATL,RB51,14,1 out of 5 stars,33
151,10,Buffalo Bills,BUF,DST1,7,4 out of 5 stars,-57
152,10,Tampa Bay Buccaneers,TB,DST2,11,4 out of 5 stars,-44
153,10,Noah Fant,SEA,TE20,11,2 out of 5 stars,5
154,10,Austin Hooper,TEN,TE21,6,5 out of 5 stars,49
155,10,Evan Engram,JAC,TE22,11,4 out of 5 stars,31
156,10,San Francisco 49ers,SF,DST3,9,4 out of 5 stars,-42
157,10,Matt Ryan,IND,QB19,14,3 out of 5 stars,11
