RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
398,15,Chris Conley,HOU,WR134,6,3 out of 5 stars,-
399,15,Jared Cook,FA,TE51,-,-,-
400,15,Anthony Firkser,ATL,TE52,14,2 out of 5 stars,-
401,15,Dare Ogunbowale,HOU,RB113,6,3 out of 5 stars,-
402,15,Jonathan Williams,WAS,RB114,14,4 out of 5 stars,-
403,15,Cade Otton,TB,TE53,11,3 out of 5 stars,-
404,15,Josiah Deguara,GB,TE54,14,1 out of 5 stars,-
405,15,Benny Snell Jr.,PIT,RB115,9,3 out of 5 stars,-
406,15,Chris Moore,HOU,WR135,6,3 out of 5 stars,-
407,15,Zach Pascal,PHI,WR136,7,4 out of 5 stars,-
408,15,T.Y. Hilton,FA,WR137,-,-,-
409,15,Jonathan Garibay,FA,K34,-,-,-
410,15,Ian Thomas,CAR,TE55,13,3 out of 5 stars,-
411,15,Tutu Atwell,LAR,WR138,7,2 out of 5 stars,-
412,15,Antoine Wesley,ARI,WR139,13,2 out of 5 stars,-
413,15,Malik Willis,TEN,QB38,6,4 out of 5 stars,-59
414,15,Durham Smythe,MIA,TE56,11,3 out of 5 stars,-
415,15,Devontae Booker,FA,RB116,-,-,-
416,15,Tyler Badie,BAL,RB117,10,4 out of 5 stars,-
417,15,Ben Skowronek,LAR,WR140,7,2 out of 5 stars,-
418,15,Riley Patterson,JAC,K35,11,4 out of 5 stars,-
419,15,Anthony McFarland Jr.,PIT,RB118,9,3 out of 5 stars,-
420,15,Ryan Griffin,CHI,TE57,14,5 out of 5 stars,-
421,15,Joe Flacco,NYJ,QB39,10,1 out of 5 stars,-
422,15,Laquon Treadwell,NE,WR141,10,4 out of 5 stars,-
423,15,Justin Watson,KC,WR142,8,2 out of 5 stars,-
424,15,Malcolm Brown,FA,RB119,-,-,-
425,15,Jake Ferguson,DAL,TE58,9,3 out of 5 stars,-
426,15,Justice Hill,BAL,RB120,10,4 out of 5 stars,-
427,15,Wayne Gallman Jr.,FA,RB121,-,-,-
428,15,Teddy Bridgewater,MIA,QB40,11,2 out of 5 stars,-
429,15,Ihmir Smith-Marsette,CHI,WR143,14,3 out of 5 stars,-
430,15,Jamal Agnew,JAC,WR144,11,4 out of 5 stars,-
431,15,JaMycal Hasty,JAC,RB122,11,3 out of 5 stars,-
432,15,Juwan Johnson,NO,TE59,14,4 out of 5 stars,-
433,15,Devonta Freeman,FA,RB123,-,-,-
434,15,Deonte Harty,NO,WR145,14,4 out of 5 stars,-
435,15,C.J. Ham,MIN,RB124,7,4 out of 5 stars,-
436,15,Kylin Hill,GB,RB125,14,3 out of 5 stars,-
437,15,Julius Chestnut,TEN,RB126,6,4 out of 5 stars,-
438,15,Antonio Brown,FA,WR146,-,-,-
439,15,Denzel Mims,NYJ,WR147,10,1 out of 5 stars,-
440,15,Tristan Vizcaino,FA,K36,-,-,-
441,15,Tyron Johnson,LV,WR148,6,2 out of 5 stars,-
442,15,Deon Jackson,IND,RB127,14,3 out of 5 stars,-
443,15,Tylan Wallace,BAL,WR149,10,3 out of 5 stars,-
444,15,Tony Jones Jr.,NO,RB128,14,3 out of 5 stars,-
445,15,Mike Boone,DEN,RB129,9,3 out of 5 stars,-
446,15,Jeremy Ruckert,NYJ,TE60,10,3 out of 5 stars,-
447,15,Kalif Raymond,DET,WR150,6,3 out of 5 stars,-
448,15,Chigoziem Okonkwo,TEN,TE61,6,5 out of 5 stars,-
449,15,Sam Darnold,CAR,QB41,13,3 out of 5 stars,-
450,15,Montrell Washington,DEN,WR151,9,4 out of 5 stars,-
451,15,N'Keal Harry,CHI,WR152,14,3 out of 5 stars,-
452,15,Tyrod Taylor,NYG,QB42,9,5 out of 5 stars,-
453,15,Noah Gray,KC,TE62,8,3 out of 5 stars,-
454,15,Gardner Minshew II,PHI,QB43,7,4 out of 5 stars,-
455,15,Dezmon Patmon,IND,WR153,14,4 out of 5 stars,-
456,15,Trent Sherfield,MIA,WR154,11,2 out of 5 stars,-
457,15,Jordan Akins,HOU,TE63,6,3 out of 5 stars,-
458,15,Gary Brightwell,NYG,RB130,9,3 out of 5 stars,-
459,16,Brycen Hopkins,LAR,TE64,7,3 out of 5 stars,-
460,16,Cam Sims,WAS,WR155,14,4 out of 5 stars,-
461,16,Scotty Miller,TB,WR156,11,4 out of 5 stars,-
462,16,Ryan Santoso,FA,K37,-,-,-
463,16,Breshad Perriman,TB,WR157,11,4 out of 5 stars,-
464,16,Brock Wright,DET,TE65,6,4 out of 5 stars,-
465,16,Lance McCutcheon,LAR,WR158,7,2 out of 5 stars,-
466,16,Marcedes Lewis,GB,TE66,14,1 out of 5 stars,-
467,16,Kennedy Brooks,PHI,RB131,7,3 out of 5 stars,-
468,16,Zach Gentry,PIT,TE67,9,4 out of 5 stars,-
469,16,Larry Rountree III,LAC,RB132,8,2 out of 5 stars,-
470,16,Tyler Davis,GB,TE68,14,1 out of 5 stars,-
471,16,Dez Fitzpatrick,TEN,WR159,6,3 out of 5 stars,-
472,16,Antonio Williams,NYG,RB133,9,3 out of 5 stars,-
473,16,DeSean Jackson,FA,WR160,-,-,-
474,16,Alec Ingold,MIA,RB134,11,4 out of 5 stars,-
475,16,Keith Smith,ATL,RB135,14,1 out of 5 stars,-
476,16,Blake Jarwin,FA,TE69,-,-,-
477,16,Dante Pettis,CHI,WR161,14,3 out of 5 stars,-
478,16,Jakob Johnson,LV,RB136,6,2 out of 5 stars,-
479,16,Cyril Grayson Jr.,FA,WR162,-,-,-
480,16,KaVontae Turpin,DAL,WR163,9,3 out of 5 stars,-
481,16,Drew Sample,CIN,TE70,10,2 out of 5 stars,-
482,16,Erik Ezukanma,MIA,WR164,11,2 out of 5 stars,-
483,16,James McCourt,JAC,K38,11,4 out of 5 stars,-
484,16,Royce Freeman,HOU,RB137,6,3 out of 5 stars,-
485,16,Maxx Williams,ARI,TE71,13,3 out of 5 stars,-
486,16,Jody Fortson,KC,TE72,8,3 out of 5 stars,-
487,16,KhaDarel Hodge,ATL,WR165,14,4 out of 5 stars,-
488,16,Trayveon Williams,CIN,RB138,10,3 out of 5 stars,-
489,16,Miles Boykin,PIT,WR166,9,4 out of 5 stars,-
490,16,Shi Smith,CAR,WR167,13,3 out of 5 stars,-
491,16,Damiere Byrd,ATL,WR168,14,4 out of 5 stars,-
492,16,Eric Ebron,FA,TE73,-,-,-
493,16,Ray-Ray McCloud,SF,WR169,9,3 out of 5 stars,-
494,16,Rico Dowdle,DAL,RB139,9,4 out of 5 stars,-
495,16,Hunter Long,MIA,TE74,11,3 out of 5 stars,-
496,16,Adrian Peterson,FA,RB140,-,-,-
497,16,Malik Turner,SF,WR170,9,3 out of 5 stars,-
